,Adjusted net savings,,,,,,,,,Adolescent fertility rate (women aged 15-19 years),,,,,,,,,Adult literacy rate (both sexes),,,,,,,,,Carbon dioxide emissions per capita,,,,,,,,,Combined gross enrolment ratio in education (both sexes),,,,,,,,,Expenditure on education (% of GDP),,,,,,,,,"Expenditure on health, public (% of GDP)",,,,,,,,,Gender Inequality Index (updated),,,,,,,,,"Gender Inequality Index, value",,,,,,,,
Czech Republic,..,..,6.5,9.3,10.4,10.9,13.4,..,..,..,..,..,..,..,..,10.6,..,..,..,..,..,..,..,..,..,..,..,..,12.7,11.5,11.3,11.3,..,..,..,..,..,71.7,74.1,82.7,83.4,83.4,83.4,83.4,83.4,..,4.4,4,4.3,4.6,..,..,..,..,..,..,..,6.3,6.1,5.8,..,..,..,..,..,..,..,..,..,0.33,..,..,..,..,..,..,..,..,0.33,..,..
C̪te d'Ivoire,..,-11.2,5.4,1.3,1.7,-0.6,1.7,..,..,..,..,..,..,..,..,129.9,..,..,..,34.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7,..,0.5,0.4,0.4,0.4,..,..,..,..,38.9,37.7,37,37.5,37.5,37.5,37.5,37.5,37.5,6.9,6.8,4.6,..,..,..,4.6,..,..,..,..,..,0.9,0.9,1,..,..,..,..,..,..,..,..,..,0.744,..,..,..,..,..,..,..,..,0.765,..,..
Denmark,..,12.4,13.2,13.6,13.5,11.8,13.8,..,..,..,..,..,..,..,..,6,..,..,..,..,..,..,..,..,..,..,..,..,9.8,8.8,8.6,9.9,..,..,..,..,79.6,81.4,96,102.8,101.3,101.3,101.3,101.3,101.3,6.4,6.7,8.3,8.3,7.9,..,..,..,..,..,..,..,7.9,8.1,8.2,..,..,..,..,..,..,..,..,..,0.209,..,..,..,..,..,..,..,..,0.209,..,..
Djibouti,..,..,-2.5,20.4,23.9,28.2,..,..,..,..,..,..,..,..,..,23,..,..,..,..,..,..,..,..,..,..,..,..,0.7,0.6,0.6,0.6,..,..,..,..,19.5,17.5,18,24.8,25.5,25.5,25.5,25.5,25.5,..,3.3,9.7,8.4,8.4,8.7,..,..,..,..,..,..,4.9,4.8,5.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88,88,88,88,88,88,..,0.9,1.5,1.7,1.7,..,..,..,..,..,..,74.8,80.5,78.5,78.5,78.5,78.5,78.5,..,5.3,..,..,..,4.1,4.8,..,..,..,..,..,3.7,3.7,3.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,..,9.3,8.3,3.9,5,1.1,-0.3,..,..,..,..,..,..,..,..,108.7,..,..,73.1,73.1,87,88.5,88.8,89.1,89.5,89.8,90.1,..,1.3,2.3,2.1,2.1,..,..,..,..,64,62.5,71.4,73.5,73.5,73.5,73.5,73.5,73.5,2.1,1.3,1.9,..,..,2.2,..,..,..,..,..,..,1.7,2.1,1.9,..,..,..,..,..,..,..,..,..,0.625,..,..,..,..,..,..,..,..,0.646,..,..
Ecuador,..,-23.1,2.4,0.1,-0.2,0.4,0.4,..,..,..,..,..,..,..,..,82.8,..,..,83.6,88.3,91,91,91,91,91,91,91,..,1.6,1.7,2.3,2.4,..,..,..,..,75.1,70.2,..,..,..,..,..,..,..,..,2.9,1.3,..,..,..,..,..,..,..,..,..,2.1,2.3,2.3,..,..,..,..,..,..,..,..,..,0.624,..,..,..,..,..,..,..,..,0.645,..,..
Egypt,..,11,8.5,1.5,4.5,4.1,2.1,..,..,..,..,..,..,..,..,39,..,..,37.4,44.4,55.6,66.4,66.4,66.4,66.4,66.4,66.4,..,1.4,2.1,2.4,2.2,..,..,..,..,50,65.3,80.9,76.4,76.4,76.4,76.4,76.4,76.4,4.2,5.2,..,4.8,4,3.7,3.8,..,..,..,..,..,2.3,2.6,2.4,..,..,..,..,..,..,..,..,..,0.693,..,..,..,..,..,..,..,..,0.714,..,..
El Salvador,..,4.1,4.3,3.5,..,2.1,-0.1,..,..,..,..,..,..,..,..,82.7,..,..,57.1,74.1,74.1,83.6,83.6,82,82,82,82,..,0.5,0.9,0.9,1,..,..,..,..,51.6,55.5,64.5,72.9,72.3,74,74,74,74,..,2.2,2.5,2.7,3,3,3.6,..,..,..,..,..,3.7,4.1,3.6,..,..,..,..,..,..,..,..,..,0.63,..,..,..,..,..,..,..,..,0.653,..,..
Equatorial Guinea,..,..,-7.1,-75.1,-60.3,-48.9,-38.5,..,..,..,..,..,..,..,..,122.8,..,..,..,..,87,87,87,87,87,87,87,..,0.4,0.6,9,8.8,..,..,..,..,61.7,69,62,62,62,62,62,62,62,..,1.6,0.7,..,..,..,..,..,..,..,..,..,1.1,1.5,1.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,..,..,-2.2,-0.4,3.5,..,..,..,..,..,..,..,..,..,..,66.9,..,..,..,..,52.5,61.5,62.8,64.2,65.5,66.7,67.9,..,..,0.2,0.2,0.1,..,..,..,..,..,..,29.2,34.2,33.3,33.3,33.3,33.3,33.3,..,..,3.2,..,2,..,..,..,..,..,..,..,1.7,1.6,1.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,..,..,13.6,15.4,13.8,11.5,9,..,..,..,..,..,..,..,..,21.4,..,..,..,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,..,16.4,11.7,13.6,13.1,..,..,..,..,84.4,81.5,88.3,92.2,91.2,91.2,91.2,91.2,91.2,..,6.1,5.4,4.9,..,5,..,..,..,..,..,..,3.9,3.8,4.1,..,..,..,..,..,..,..,..,..,0.354,..,..,..,..,..,..,..,..,0.409,..,..
Ethiopia,..,2.3,1.3,2.5,0.4,13.1,8.9,..,..,..,..,..,..,..,..,104.4,..,..,..,..,27,35.9,35.9,35.9,35.9,35.9,35.9,..,0.1,0.1,0.1,0.1,..,..,..,..,19,17.2,27,41.6,45.1,49,49,49,49,2.2,2.4,3.9,..,5.5,5.5,..,..,..,..,..,..,2.5,2.3,2.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,..,0.8,15.3,5.2,-9.1,-6.8,-7.1,..,..,..,..,..,..,..,..,31.5,..,..,..,..,..,..,..,..,..,..,..,..,1.1,1.1,2,1.9,..,..,..,..,65.6,78.8,72.8,73.6,71.5,71.5,71.5,71.5,71.5,5,4.7,5.9,..,..,..,..,..,..,..,..,..,3,2.6,2.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland,..,12.3,18.4,15.2,16.1,16.7,16,..,..,..,..,..,..,..,..,11.4,..,..,..,..,..,..,..,..,..,..,..,..,10.2,10.1,10.4,12.7,..,..,..,..,77.4,89.3,104,101.4,101.4,101.4,101.4,101.4,101.4,5.1,5.4,5.9,6.3,6.1,5.9,..,..,..,..,..,..,6.2,6.2,6.1,..,..,..,..,..,..,..,..,..,0.248,..,..,..,..,..,..,..,..,0.248,..,..
France,..,13.6,13.9,10.8,11.3,11.7,9.8,..,..,..,..,..,..,..,..,6.9,..,..,..,..,..,..,..,..,..,..,..,..,7,6.2,6.5,6.2,..,..,..,..,74.6,82.9,92.2,95.5,95.4,95.4,95.4,95.4,95.4,4.9,5.2,5.7,5.6,5.6,..,..,..,..,..,..,..,8.8,8.7,8.7,..,..,..,..,..,..,..,..,..,0.26,..,..,..,..,..,..,..,..,0.26,..,..
Gabon,..,-14.9,0.1,9.9,-2.6,4.8,3.6,..,..,..,..,..,..,..,..,89.9,..,..,..,..,80,84.6,85.4,86.2,86.9,87.6,88.2,..,6.6,1,1.4,1.6,..,..,..,..,80.4,82.9,77.4,80.7,80.7,80.7,80.7,80.7,80.7,2.5,2.8,3.8,..,..,..,..,..,..,..,..,..,3.1,3.2,3,..,..,..,..,..,..,..,..,..,0.644,..,..,..,..,..,..,..,..,0.678,..,..
Gambia,..,12.5,6.3,3.5,13.5,9.4,3.9,..,..,..,..,..,..,..,..,88.1,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.2,0.2,0.2,..,..,..,..,..,..,43.4,47.6,46.8,46.8,46.8,46.8,46.8,3.6,3.8,2.7,..,..,..,..,..,..,..,..,..,3.5,3.4,2.6,..,..,..,..,..,..,..,..,..,0.72,..,..,..,..,..,..,..,..,0.742,..,..
Georgia,..,..,9.5,14.6,7.6,4.3,-0.3,..,..,..,..,..,..,..,..,44.7,..,..,..,..,100,100,100,100,100,100,100,..,2.9,1,1.1,1.2,..,..,..,..,79.5,78.3,74.6,76.5,74.6,76.7,76.7,76.7,76.7,..,..,2.2,2.5,3,2.7,2.9,..,..,..,..,..,1.7,1.8,1.5,..,..,..,..,..,..,..,..,..,0.578,..,..,..,..,..,..,..,..,0.597,..,..
Germany,..,13.1,8.7,12.4,13.9,15.7,..,..,..,..,..,..,..,..,..,7.7,..,..,..,..,..,..,..,..,..,..,..,..,12.1,10.1,9.7,9.7,..,..,..,..,74.1,75.8,..,88.1,88.1,88.1,..,..,..,..,..,4.5,4.5,4.4,..,..,..,..,..,..,..,8.2,8.1,8,..,..,..,..,..,..,..,..,..,0.24,..,..,..,..,..,..,..,..,0.24,..,..
Ghana,..,2.9,6,14.2,17.5,7.7,-6.6,..,..,..,..,..,..,..,..,64,..,..,..,..,57.9,63.4,64.2,65,65.8,66.6,67.3,..,0.3,0.3,0.3,0.4,..,..,..,..,47.6,43,46.2,50.3,52.9,56.5,56.5,56.5,56.5,3.6,3.2,..,5.4,..,..,..,..,..,..,..,..,3.1,2.6,4.3,..,..,..,..,..,..,..,..,..,0.709,..,..,..,..,..,..,..,..,0.729,..,..
Greece,..,6,2.2,3.1,3.5,-1.5,-4.8,..,..,..,..,..,..,..,..,8.9,..,..,90.5,92.6,96,96.8,97,97.1,97.2,97.3,97.4,..,7.2,8.4,8.9,8.7,..,..,..,..,70.6,77.4,81,99.7,101.6,101.6,101.6,101.6,101.6,1.9,2.4,3.3,4,..,..,..,..,..,..,..,..,5.7,5.9,5.8,..,..,..,..,..,..,..,..,..,0.317,..,..,..,..,..,..,..,..,0.317,..,..
Grenada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4,..,..,..,..,..,96,96,96,96,96,96,..,1.3,2,2.2,2.3,..,..,..,..,..,..,79.4,73.1,73.1,73.1,73.1,73.1,73.1,5.7,5.1,..,..,..,..,..,..,..,..,..,..,3.7,4,3.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,..,0.2,1.4,5.7,8.1,8.2,5.3,..,..,..,..,..,..,..,..,107.2,..,..,46,46,69.1,71.8,72.5,73.2,73.9,74.6,75.3,..,0.6,0.9,0.9,0.9,..,..,..,..,38.5,43,58.2,67,67.6,70.5,70.5,70.5,70.5,1.8,1.4,..,..,3,3,3.2,..,..,..,..,..,2.2,2,2.1,..,..,..,..,..,..,..,..,..,0.669,..,..,..,..,..,..,..,..,0.713,..,..
Guinea,..,2.1,3.2,7.4,1.3,-13.5,-11.3,..,..,..,..,..,..,..,..,152.3,..,..,..,..,..,29.5,29.5,29.5,29.5,29.5,29.5,..,0.2,0.2,0.2,0.1,..,..,..,..,22.2,18.6,31.2,46.6,49.3,49.3,49.3,49.3,49.3,..,2,1.8,1.7,..,..,1.7,..,..,..,..,..,0.7,0.8,0.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,..,7.7,-10.5,20.2,7.7,29,16.6,..,..,..,..,..,..,..,..,129.2,..,..,20,35.7,52.1,61,62.8,64.6,66.2,67.9,69.5,..,0.2,0.2,0.2,0.2,..,..,..,..,31,27.7,36.5,36.6,36.6,36.6,36.6,36.6,36.6,..,..,..,..,..,..,..,..,..,..,..,..,1.6,1.5,1.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guyana,..,..,-0.8,9.1,24,23.7,14.4,..,..,..,..,..,..,..,..,62.7,..,..,..,..,..,..,..,..,..,..,..,..,1.6,2.2,2,2,..,..,..,..,66,63.5,77.1,86.1,83.9,83.9,83.9,83.9,83.9,9.1,3.4,8.5,8.5,8.1,6.1,..,..,..,..,..,..,6,6.3,7.2,..,..,..,..,..,..,..,..,..,0.639,..,..,..,..,..,..,..,..,0.667,..,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.4,..,..,34.7,42,53.7,59.8,61,62.1,63.2,64.3,65.3,..,0.1,0.2,0.2,0.2,..,..,..,..,35.7,39.4,..,..,..,..,..,..,..,1.4,1.5,..,..,..,..,..,..,..,..,..,..,1,1.4,1.2,..,..,..,..,..,..,..,..,..,0.705,..,..,..,..,..,..,..,..,0.739,..,..
Honduras,..,17.4,19.1,21.6,18.3,15.7,13.1,..,..,..,..,..,..,..,..,93.1,..,..,56.9,56.9,80,83.6,83.6,83.6,83.6,83.6,83.6,..,0.5,0.8,1.1,1,..,..,..,..,54.6,59.3,63.5,74.8,74.8,74.8,74.8,74.8,74.8,3,3.8,..,..,..,..,..,..,..,..,..,..,3.8,3.7,4.1,..,..,..,..,..,..,..,..,..,0.634,..,..,..,..,..,..,..,..,0.68,..,..
"Hong Kong, China (SAR)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.7,..,..,..,..,..,..,..,..,..,..,..,..,4.8,6.1,5.8,5.5,..,..,..,..,58.7,69.8,..,74.4,74.4,74.4,74.4,74.4,74.4,..,..,..,4.2,3.9,3.5,3.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,..,18.2,5,8.1,8,6.6,5,..,..,..,..,..,..,..,..,20.2,..,..,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,..,6,5.5,5.8,5.7,..,..,..,..,66.5,67.7,80.4,89.4,90.2,90.2,90.2,90.2,90.2,4.6,5.8,4.8,5.5,5.4,..,..,..,..,..,..,..,6,5.8,5.2,..,..,..,..,..,..,..,..,..,0.401,..,..,..,..,..,..,..,..,0.382,..,..
Iceland,..,8.2,6.8,5,2.1,6.1,..,..,..,..,..,..,..,..,..,15.1,..,..,..,..,..,..,..,..,..,..,..,..,8.1,7.7,7.4,7.4,..,..,..,..,71.9,80.7,89.7,95.2,96,96,96,96,96,4.4,5.3,5.8,7.6,7.6,7.5,..,..,..,..,..,..,7.7,7.5,7.7,..,..,..,..,..,..,..,..,..,0.279,..,..,..,..,..,..,..,..,0.279,..,..
India,..,11.5,14.6,21.5,23,25,24.2,..,..,..,..,..,..,..,..,68.1,..,..,40.8,48.2,61,64.5,65.2,66,66.8,67.5,68.3,..,0.8,1.1,1.3,1.3,..,..,..,..,41.4,50.1,52.2,60.7,61,61,61,61,61,2.9,3.7,4.4,3.2,3.2,..,..,..,..,..,..,..,1,1,1.1,..,..,..,..,..,..,..,..,..,0.721,..,..,..,..,..,..,..,..,0.748,..,..
Indonesia,..,16,12.1,-0.3,1.4,-0.7,-2.4,..,..,..,..,..,..,..,..,39.8,..,..,67.3,81.5,81.5,92,92,92,92,92,92,..,0.8,1.2,1.5,1.5,..,..,..,..,54.9,61.4,62.1,67.2,68.2,68.2,68.2,68.2,68.2,..,..,..,2.9,3.6,3.5,..,..,..,..,..,..,0.9,1,1.2,..,..,..,..,..,..,..,..,..,0.652,..,..,..,..,..,..,..,..,0.68,..,..
Iran (Islamic Republic of),..,-55,-28.8,1.3,-0.8,7.5,..,..,..,..,..,..,..,..,..,18.3,..,..,36.5,65.5,77,82.4,82.3,82.3,82.3,82.3,82.3,..,4,5.1,6.3,6.6,..,..,..,..,47.6,66.4,69.7,73.2,73.2,73.2,73.2,73.2,73.2,7.7,4.1,4.4,4.7,5.1,5.5,4.8,..,..,..,..,..,3.2,3.4,3,..,..,..,..,..,..,..,..,..,0.594,..,..,..,..,..,..,..,..,0.674,..,..
Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.5,..,..,..,..,74.1,74.1,74.1,74.1,74.1,74.1,74.1,..,2.8,3,3.2,3.2,..,..,..,..,70.2,64.8,52.7,60.5,60.5,60.5,60.5,60.5,60.5,2.7,5.1,..,..,..,..,..,..,..,..,..,..,3,2.5,1.9,..,..,..,..,..,..,..,..,..,0.693,..,..,..,..,..,..,..,..,0.751,..,..
Ireland,..,19,21.4,21.6,23,19.2,7.5,..,..,..,..,..,..,..,..,15.9,..,..,..,..,..,..,..,..,..,..,..,..,8.8,11.1,10.6,10.4,..,..,..,..,73.3,80.4,91.8,97.7,97.6,97.6,97.6,97.6,97.6,5.8,4.7,4.3,4.8,4.8,4.9,..,..,..,..,..,..,5.6,5.5,6.1,..,..,..,..,..,..,..,..,..,0.344,..,..,..,..,..,..,..,..,0.344,..,..
Israel,..,11.2,9.7,14.7,16.4,15.2,11.3,..,..,..,..,..,..,..,..,14.3,..,..,87.9,91.8,91.8,97.1,97.1,97.1,97.1,97.1,97.1,..,7.4,10.3,9.5,10.3,..,..,..,..,73,78.9,88.3,90,89.9,89.9,89.9,89.9,89.9,8.8,6.3,6.5,6.2,6.2,6.4,..,..,..,..,..,..,4.6,4.4,4.5,..,..,..,..,..,..,..,..,..,0.332,..,..,..,..,..,..,..,..,0.332,..,..
Italy,..,9.5,9.5,8,8.4,8.6,8.6,..,..,..,..,..,..,..,..,4.9,..,..,96.5,96.5,98.4,98.8,98.8,98.9,98.9,99,99,..,7.5,7.8,8,8.1,..,..,..,..,68,70.8,80.9,90.5,91.8,91.8,91.8,91.8,91.8,4.3,3,4.5,4.4,4.7,4.3,..,..,..,..,..,..,6.8,6.9,6.7,..,..,..,..,..,..,..,..,..,0.251,..,..,..,..,..,..,..,..,0.251,..,..
Jamaica,..,8.5,15.2,10.2,10.9,6.1,..,..,..,..,..,..,..,..,..,77.3,..,..,..,..,82.4,85,85.5,86,86.4,86.9,87.3,..,3.4,4,3.8,4.5,..,..,..,..,67,63.6,74.3,78.1,78.1,78.1,78.1,78.1,78.1,6.4,4.8,5,4.6,..,5.5,6.2,..,..,..,..,..,2,2.1,2.4,..,..,..,..,..,..,..,..,..,0.603,..,..,..,..,..,..,..,..,0.638,..,..
Japan,..,21.3,10.8,8.9,9.1,10.6,15.3,..,..,..,..,..,..,..,..,4.7,..,..,..,..,..,..,..,..,..,..,..,..,9.5,9.9,10.2,10.1,..,..,..,..,79.7,76.9,83.1,85.8,86.6,86.6,86.6,86.6,86.6,5.8,4.6,3.7,3.5,3.5,3.4,..,..,..,..,..,..,6.7,6.6,6.5,..,..,..,..,..,..,..,..,..,0.273,..,..,..,..,..,..,..,..,0.273,..,..
Jordan,..,17.6,15.3,10.6,14.3,4,3.6,..,..,..,..,..,..,..,..,24.5,..,..,66.8,66.8,66.8,91.1,91.1,91.1,91.1,91.1,91.1,..,3.2,3.2,3.8,3.6,..,..,..,..,59.2,77.4,77.4,79.3,78.7,78.7,78.7,78.7,78.7,6.8,8.1,..,..,..,..,..,..,..,..,..,..,5.1,4.6,5.4,..,..,..,..,..,..,..,..,..,0.614,..,..,..,..,..,..,..,..,0.616,..,..
Kazakhstan,..,..,-26.3,-15,-8.7,-8.8,2.5,..,..,..,..,..,..,..,..,30.7,..,..,..,97.5,99.5,99.6,99.6,99.6,99.6,99.7,99.7,..,15.9,8.5,11.7,12.6,..,..,..,..,..,80,79.1,91,91.8,91.4,91.4,91.4,91.4,..,3.2,3.3,2.3,2.6,2.8,..,..,..,..,..,..,2.5,2.3,2.5,..,..,..,..,..,..,..,..,..,0.503,..,..,..,..,..,..,..,..,0.575,..,..
Kenya,..,13.7,7,11.9,13.2,13.7,10.2,..,..,..,..,..,..,..,..,103.5,..,..,..,..,73.6,73.6,73.6,73.6,73.6,73.6,73.6,..,0.2,0.3,0.3,0.3,..,..,..,..,62,58,53,59.4,59.6,59.6,59.6,59.6,59.6,5.9,6.7,5.2,7.3,7,..,..,..,..,..,..,..,1.9,1.9,2,..,..,..,..,..,..,..,..,..,0.735,..,..,..,..,..,..,..,..,0.738,..,..
Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,0.4,0.3,0.3,..,..,..,..,..,..,81,75.8,75.8,75.8,75.8,75.8,75.8,7,..,16.1,..,..,..,..,..,..,..,..,..,12.9,12.7,16.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Korea (Democratic People's Rep. of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,12.2,3.4,3.5,3.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Korea (Republic of),..,27.8,21.3,22,20.7,20.8,21.1,..,..,..,..,..,..,..,..,5.5,..,..,87.6,87.6,87.6,..,..,..,..,..,..,..,5.6,9.6,9.9,9.9,..,..,..,..,70.4,78.9,91.2,97.2,98.5,98.5,98.5,98.5,98.5,3.5,3.3,..,4.1,4.2,4.2,..,..,..,..,..,..,3,3.3,3.5,..,..,..,..,..,..,..,..,..,0.329,..,..,..,..,..,..,..,..,0.31,..,..
Kuwait,..,-9.1,11.6,13.7,21.5,19.8,9.7,..,..,..,..,..,..,..,..,13.2,..,..,67.5,74.5,78.4,94.2,93.3,94.5,94.5,94.5,94.5,..,19,31.9,33.3,31.2,..,..,..,..,69.8,37.2,77.9,74.1,72.6,72.6,72.6,72.6,72.6,2.8,5.8,..,4.7,3.8,..,..,..,..,..,..,..,1.6,1.6,1.7,..,..,..,..,..,..,..,..,..,0.451,..,..,..,..,..,..,..,..,0.451,..,..
Kyrgyzstan,..,-1.5,1.3,4.2,3.9,2,10.4,..,..,..,..,..,..,..,..,32.3,..,..,..,..,98.9,99.2,99.3,99.3,99.3,99.4,99.4,..,2.5,0.9,1.1,1.1,..,..,..,..,..,77.5,76.1,77.5,77.7,77.3,77.3,77.3,77.3,..,8.4,3.5,4.9,5.5,6.6,..,..,..,..,..,..,2.4,3.2,3.5,..,..,..,..,..,..,..,..,..,0.521,..,..,..,..,..,..,..,..,0.56,..,..
Lao People's Democratic Republic,..,..,8.4,9.3,13.5,14.6,17.1,..,..,..,..,..,..,..,..,37.4,..,..,..,..,68.7,72.7,72.7,72.7,72.7,72.7,72.7,..,0.1,0.2,0.2,0.2,..,..,..,..,48.5,48.5,55.2,59.8,59.6,59.6,59.6,59.6,59.6,..,2.5,1.5,2.4,2.9,3,2.3,..,..,..,..,..,0.7,0.7,0.8,..,..,..,..,..,..,..,..,..,0.644,..,..,..,..,..,..,..,..,0.65,..,..
