,Adjusted net savings,,,,,,,,,Adolescent fertility rate (women aged 15-19 years),,,,,,,,,Adult literacy rate (both sexes),,,,,,,,,Carbon dioxide emissions per capita,,,,,,,,,Combined gross enrolment ratio in education (both sexes),,,,,,,,,Expenditure on education (% of GDP),,,,,,,,,"Expenditure on health, public (% of GDP)",,,,,,,,,Gender Inequality Index (updated),,,,,,,,,"Gender Inequality Index, value",,,,,,,,
Latvia,..,29.2,0.6,9.3,6.7,10,14.8,..,..,..,..,..,..,..,..,15.2,..,..,..,99.5,99.7,99.8,99.8,99.8,99.8,99.8,99.8,..,5.1,2.6,3.1,3.3,..,..,..,..,75.5,73.7,84.4,91.1,90.2,90.2,90.2,90.2,90.2,3.3,3.8,5.4,..,5.1,5,..,..,..,..,..,..,3.6,4.3,3.6,..,..,..,..,..,..,..,..,..,0.369,..,..,..,..,..,..,..,..,0.316,..,..
Lebanon,..,..,-11.7,-4.5,2.6,7.2,0.1,..,..,..,..,..,..,..,..,16.2,..,..,..,..,..,89.6,89.6,89.6,89.6,89.6,89.6,..,3.1,4.1,4.4,3.8,..,..,..,..,69.4,73.7,72,76.8,76.8,78,78,78,78,..,3.2,2,2.6,2.8,2.6,2,..,..,..,..,..,3.7,4,3.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lesotho,..,40.2,15.3,15.7,25.1,31.6,19.4,..,..,..,..,..,..,..,..,73.5,..,..,..,..,82.2,82.2,82.2,82.2,82.2,82.2,82.2,..,..,..,..,..,..,..,..,..,54.3,60,60.8,61.6,61.5,61.5,61.5,61.5,61.5,8.1,6,11.4,14.2,13.8,..,12.4,..,..,..,..,..,3.3,3.9,3.6,..,..,..,..,..,..,..,..,..,0.657,..,..,..,..,..,..,..,..,0.685,..,..
Liberia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,141.6,..,..,19.6,37.2,47.2,53.2,54.4,55.5,56.7,57.8,58.9,..,0.2,0.1,0.2,0.2,..,..,..,..,28.5,17.8,57.6,57.6,57.6,57.6,57.6,57.6,57.6,5.8,..,..,..,..,..,2.7,..,..,..,..,..,1.6,1.9,2.8,..,..,..,..,..,..,..,..,..,0.766,..,..,..,..,..,..,..,..,0.766,..,..
Libyan Arab Jamahiriya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.2,..,..,38.9,71.5,82.3,85.6,86.2,86.8,87.3,87.8,88.3,..,9.2,9.3,9.3,9.2,..,..,..,..,82.9,77.5,96.1,95.8,95.8,95.8,95.8,95.8,95.8,3.4,..,..,..,..,..,..,..,..,..,..,..,1.7,1.6,1.9,..,..,..,..,..,..,..,..,..,0.476,..,..,..,..,..,..,..,..,0.504,..,..
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.4,86.8,86.8,86.8,86.8,86.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,..,..,0.2,7.9,7.2,7.6,6.6,..,..,..,..,..,..,..,..,21.9,..,..,..,98.4,99.6,99.7,99.7,99.7,99.7,99.7,99.7,..,6,3.5,4.1,4.2,..,..,..,..,82.2,74.6,86.9,92.9,92.3,92.3,92.3,92.3,92.3,..,4.6,..,4.9,4.8,4.7,..,..,..,..,..,..,4,4.3,4.5,..,..,..,..,..,..,..,..,..,0.371,..,..,..,..,..,..,..,..,0.359,..,..
Luxembourg,..,..,21.6,23.8,17.7,20.8,..,..,..,..,..,..,..,..,..,12.3,..,..,..,..,..,..,..,..,..,..,..,..,26,18.9,24.8,24.5,..,..,..,..,..,..,..,93.1,94.6,94.4,94.4,94.4,94.4,5.6,2.7,..,..,..,..,..,..,..,..,..,..,6.9,6.6,6.5,..,..,..,..,..,..,..,..,..,0.345,..,..,..,..,..,..,..,..,0.318,..,..
Madagascar,..,3.2,1.7,6.9,12,4.7,7,..,..,..,..,..,..,..,..,132.8,..,..,..,..,70.7,70.7,70.7,70.7,70.7,70.7,70.7,..,0.1,0.1,0.2,0.1,..,..,..,..,58.9,40.7,42,58.8,60,61.3,61.3,61.3,61.3,4.3,2.1,3.2,3.2,3.1,3.4,2.9,..,..,..,..,..,2.5,2.6,2.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,..,10.1,4.4,0.5,-0.9,24,25.1,..,..,..,..,..,..,..,..,135.2,..,..,..,48.5,65.7,69.9,70.9,71.8,72.7,73.6,74.5,..,0.1,0.1,0.1,0.1,..,..,..,..,34.3,38.8,68.4,61.8,61.9,61.9,61.9,61.9,61.9,2.6,3.3,4.1,..,..,..,..,..,..,..,..,..,7.2,8.9,5.9,..,..,..,..,..,..,..,..,..,0.732,..,..,..,..,..,..,..,..,0.758,..,..
Malaysia,..,12.4,20.9,15.8,17.1,19.2,..,..,..,..,..,..,..,..,..,12.8,..,..,69.5,82.9,88.7,91.2,91.5,91.9,92.2,92.6,92.9,..,3.1,5.4,7.1,7.2,..,..,..,..,53.9,59.1,68,71.5,71.5,71.5,71.5,71.5,71.5,5.7,5.1,6,7.5,4.7,4.5,..,..,..,..,..,..,1.8,1.9,1.9,..,..,..,..,..,..,..,..,..,0.445,..,..,..,..,..,..,..,..,0.493,..,..
Maldives,..,..,27.8,31.3,..,..,..,..,..,..,..,..,..,..,..,13.4,..,..,82.3,96,96.3,96.9,97,97,97.1,97.2,97.3,..,0.7,1.8,2.3,2.9,..,..,..,..,52.7,70.6,78.5,73.1,71.3,71.3,71.3,71.3,71.3,..,3.8,..,7.8,8,..,8.1,..,..,..,..,..,6.8,6.8,6.4,..,..,..,..,..,..,..,..,..,0.454,..,..,..,..,..,..,..,..,0.533,..,..
Mali,..,12.1,9.2,6.6,9.9,21.3,..,..,..,..,..,..,..,..,..,162.9,..,..,9.4,9.4,19,26.2,26.2,26.2,26.2,26.2,26.2,..,0.1,0.1,0,0,..,..,..,..,14.1,15.8,32.7,42.6,44.3,46.9,46.9,46.9,46.9,3.4,..,..,4.1,..,..,3.8,..,..,..,..,..,2.7,2.8,2.9,..,..,..,..,..,..,..,..,..,0.794,..,..,..,..,..,..,..,..,0.799,..,..
Malta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.5,..,..,..,88,87.9,92.4,92.4,92.4,92.4,92.4,92.4,..,6.3,5.5,6.4,6.3,..,..,..,..,64.1,74,76,81.3,81.3,81.3,81.3,81.3,81.3,3.2,4.3,..,..,..,..,..,..,..,..,..,..,6.5,6.4,5.8,..,..,..,..,..,..,..,..,..,0.395,..,..,..,..,..,..,..,..,0.395,..,..
Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1.5,1.5,1.6,..,..,..,..,..,..,73,71.1,71.1,71.1,71.1,71.1,71.1,..,..,15,..,..,..,..,..,..,..,..,..,13.2,14.1,14.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,..,4.7,-15.1,-29.1,6.6,5.3,..,..,..,..,..,..,..,..,..,90,..,..,..,..,51.2,54.6,55.2,55.8,56.4,57,57.6,..,1.4,0.5,0.6,0.5,..,..,..,..,19.4,26.7,44,49.1,50.6,50.6,50.6,50.6,50.6,4.8,4.6,..,2.3,2.9,..,4.4,..,..,..,..,..,1.8,1.6,1.6,..,..,..,..,..,..,..,..,..,0.722,..,..,..,..,..,..,..,..,0.738,..,..
Mauritius,..,17.9,18.1,10,9.3,13,8.5,..,..,..,..,..,..,..,..,39.3,..,..,..,79.9,84.3,86.6,87,87.4,87.8,88.2,88.6,..,1.4,2.3,2.7,3.1,..,..,..,..,52.4,59.5,67.1,75.3,76.9,76.9,76.9,76.9,76.9,5.8,3.5,3.9,4.4,3.9,3.6,3.6,..,..,..,..,..,2.2,1.9,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.466,..,..
Mexico,..,6.9,11.3,10,10.9,11,9,..,..,..,..,..,..,..,..,64.8,..,..,83,87.6,90.5,91.6,91.7,92.8,92.8,92.8,92.8,..,4.6,3.8,4.1,4.1,..,..,..,..,71.5,65.3,71.8,79,80.2,80.2,80.2,80.2,80.2,4.6,3.6,4.9,5,4.8,4.8,..,..,..,..,..,..,2.7,2.6,2.7,..,..,..,..,..,..,..,..,..,0.596,..,..,..,..,..,..,..,..,0.576,..,..
Micronesia (Federated States of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.3,..,..,..,..,..,..,..,..,..,12.6,12.7,12.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Moldova (Republic of),..,..,9,14.9,15.7,20,17.3,..,..,..,..,..,..,..,..,33.8,..,..,..,96.4,98.5,99.1,99.2,99.2,99.3,99.4,99.4,..,4.8,1.6,2.1,2,..,..,..,..,64.5,69.9,71.6,71.1,71.9,71.6,71.6,71.6,71.6,..,5.5,4.5,7.2,7.5,8.3,8.2,..,..,..,..,..,4.2,4.4,5.2,..,..,..,..,..,..,..,..,..,0.456,..,..,..,..,..,..,..,..,0.429,..,..
Monaco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.5,3.3,2.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,..,-12.3,9.2,24.6,24.2,18.6,3,..,..,..,..,..,..,..,..,16.6,..,..,..,..,97.8,97.5,97.4,97.3,97.2,97.1,96.9,..,4.5,3,3.4,3.6,..,..,..,..,..,65.5,63.6,77.9,79,79.2,79.2,79.2,79.2,11.9,..,5.8,..,..,5.1,..,..,..,..,..,..,3,3.1,3.5,..,..,..,..,..,..,..,..,..,0.545,..,..,..,..,..,..,..,..,0.523,..,..
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.7,..,..,..,92.3,96.4,96.4,96.4,96.4,96.4,96.4,96.4,..,..,..,..,..,..,..,..,..,..,..,74.5,74.5,74.5,74.5,74.5,74.5,74.5,..,..,..,..,..,..,..,..,..,..,..,..,6.2,5.6,5.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Morocco,..,19.8,18.8,26.7,27.3,26.7,19.8,..,..,..,..,..,..,..,..,18.9,..,..,30.3,30.3,41.6,53.8,54.7,55.6,56.5,57.3,58.2,..,0.9,1.2,1.6,1.5,..,..,..,..,40.5,41,50.5,58.8,59.6,61,61,61,61,5.9,5.3,5.8,5.9,5.5,..,5.7,..,..,..,..,..,1.4,1.7,1.7,..,..,..,..,..,..,..,..,..,0.655,..,..,..,..,..,..,..,..,0.693,..,..
Mozambique,..,2.5,2.6,-0.6,-0.3,-3.5,-4.6,..,..,..,..,..,..,..,..,149.2,..,..,27.1,27.1,40.3,43.2,43.8,44.4,45,45.6,46.2,..,0.1,0.1,0.1,0.1,..,..,..,..,31.8,27.1,37.3,52.7,54.8,54.8,54.8,54.8,54.8,2.5,3.1,..,5.2,5,..,..,..,..,..,..,..,3.9,3.5,3.5,..,..,..,..,..,..,..,..,..,0.721,..,..,..,..,..,..,..,..,0.718,..,..
Myanmar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.4,..,..,..,78.6,89.9,89.9,89.9,89.9,89.9,89.9,89.9,..,0.1,0.2,0.2,0.2,..,..,..,..,42.1,47,..,56.3,56.3,56.3,56.3,56.3,56.3,1.5,1.9,0.6,..,..,..,..,..,..,..,..,..,0.2,0.3,0.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Namibia,..,19.5,20.8,22.4,25.1,25,9.9,..,..,..,..,..,..,..,..,74.4,..,..,..,75.8,85,87.2,87.6,88,88.3,88.6,88.9,..,0,0.9,1.3,1.4,..,..,..,..,..,73.3,69.5,67.3,67.2,67.2,67.2,67.2,67.2,1.4,7.9,7.9,..,6,..,6.5,..,..,..,..,..,3.6,3.1,3.2,..,..,..,..,..,..,..,..,..,0.606,..,..,..,..,..,..,..,..,0.615,..,..
Nauru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.4,13.5,14.1,14.1,..,..,..,..,..,..,49.2,60.2,55,55,55,55,55,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,..,6.5,16.6,23.8,22,21.7,30.5,..,..,..,..,..,..,..,..,101.4,..,..,20.6,33,48.6,53.9,55.2,56.5,57.8,59.1,60.3,..,0,0.1,0.1,0.1,..,..,..,..,32,54.8,56,58.1,60.8,60.8,60.8,60.8,60.8,1.6,2.3,3,..,..,..,3.8,..,..,..,..,..,1.5,1.6,2,..,..,..,..,..,..,..,..,..,0.681,..,..,..,..,..,..,..,..,0.716,..,..
Netherlands,..,14.6,15.6,14.2,17.8,18.6,-1.2,..,..,..,..,..,..,..,..,3.8,..,..,..,..,..,..,..,..,..,..,..,..,11.2,10.6,10.7,10.3,..,..,..,..,76,86.3,97.7,97.2,97.5,97.5,97.5,97.5,97.5,7,5.5,5,5.5,5.5,..,..,..,..,..,..,..,5.9,7.4,7.3,..,..,..,..,..,..,..,..,..,0.174,..,..,..,..,..,..,..,..,0.174,..,..
New Zealand,..,8,8.3,8.7,7.2,..,..,..,..,..,..,..,..,..,..,22.6,..,..,..,..,..,..,..,..,..,..,..,..,6.7,8.1,7.3,7.4,..,..,..,..,77.1,80.7,97.8,107.6,107.5,107.5,107.5,107.5,107.5,4.3,7.1,..,6.5,6.2,6.2,..,..,..,..,..,..,6.7,7.2,7.1,..,..,..,..,..,..,..,..,..,0.346,..,..,..,..,..,..,..,..,0.32,..,..
Nicaragua,..,10.4,1.3,9,9.8,7.8,..,..,..,..,..,..,..,..,..,112.7,..,..,57.5,57.5,76.7,78,78,78,78,78,78,..,0.6,0.8,0.8,0.8,..,..,..,..,57.3,55.1,68.2,71.3,72.1,72.1,72.1,72.1,72.1,3.2,3.4,3.9,..,..,..,..,..,..,..,..,..,4.2,4.2,4.5,..,..,..,..,..,..,..,..,..,0.648,..,..,..,..,..,..,..,..,0.674,..,..
Niger,..,-8.5,-3.4,16.4,..,..,..,..,..,..,..,..,..,..,..,157.4,..,..,..,..,9.4,28.7,28.7,28.7,28.7,28.7,28.7,..,0.1,0.1,0.1,0.1,..,..,..,..,12.1,14.7,16.7,25.3,26.2,27.2,27.2,27.2,27.2,2.8,2.9,..,..,3.3,4.1,3.7,..,..,..,..,..,2.9,3.2,2.8,..,..,..,..,..,..,..,..,..,0.801,..,..,..,..,..,..,..,..,0.807,..,..
Nigeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,126.6,..,..,..,55.4,64.7,70,71,72,73,73.9,74.8,..,0.5,0.6,0.8,0.7,..,..,..,..,52.1,48.3,48.5,52.5,53,53,53,53,53,3.6,0.9,..,..,..,..,..,..,..,..,..,..,1.9,1.8,1.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,..,5.6,12.8,14.6,16.8,18,16.2,..,..,..,..,..,..,..,..,8.6,..,..,..,..,..,..,..,..,..,..,..,..,7.4,8.6,13.1,8.6,..,..,..,..,76.4,81.9,97.7,98.4,98.6,98.6,98.6,98.6,98.6,6.3,7,6.6,7,6.5,6.7,..,..,..,..,..,..,7.6,7.2,7.5,..,..,..,..,..,..,..,..,..,0.234,..,..,..,..,..,..,..,..,0.234,..,..
Occupied Palestinian Territories,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.7,..,..,..,..,86.1,93.4,93.4,93.8,93.8,93.8,93.8,..,..,0.3,0.7,0.8,..,..,..,..,..,..,77.5,80,80.6,78.3,78.3,78.3,78.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oman,..,-18.2,-11.9,-11.7,-7,-8.5,..,..,..,..,..,..,..,..,..,10.4,..,..,..,..,..,83,83.7,84.4,85,85.7,86.3,..,5.6,9.2,12.6,16.3,..,..,..,..,25.9,54,68.4,67.2,68.7,68.2,68.2,68.2,68.2,1.9,2.8,3.1,3.5,4,..,..,..,..,..,..,..,2.1,1.9,1.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pakistan,..,9.8,9.5,12.4,12.3,12.2,6.1,..,..,..,..,..,..,..,..,45.7,..,..,25.7,25.7,42.7,49.9,54.2,54.2,54.2,54.2,54.2,..,0.6,0.7,0.8,0.9,..,..,..,..,20,30.9,..,39.8,39.3,39.3,39.3,39.3,39.3,2.1,2.6,1.8,2.3,2.6,2.8,2.9,..,..,..,..,..,0.7,0.8,0.8,..,..,..,..,..,..,..,..,..,0.712,..,..,..,..,..,..,..,..,0.721,..,..
Palau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,..,15.7,6.1,5.8,5.8,..,..,..,..,..,..,86.6,96.9,96.9,96.9,96.9,96.9,96.9,..,..,9.8,..,..,..,..,..,..,..,..,..,8.4,8.5,8.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Panama,..,21.5,20.5,17.2,18.4,21.2,18.9,..,..,..,..,..,..,..,..,82.6,..,..,88.1,88.8,91.9,93.1,93.2,93.4,93.6,93.7,93.9,..,1.3,2,1.9,2,..,..,..,..,69.5,66.6,76.4,79.5,79.7,79.7,79.7,79.7,79.7,4.4,4.7,5,..,..,..,3.8,..,..,..,..,..,5.2,4.7,4.3,..,..,..,..,..,..,..,..,..,0.601,..,..,..,..,..,..,..,..,0.634,..,..
Papua New Guinea,..,-10.9,13.3,5.2,-1.2,-15,3.1,..,..,..,..,..,..,..,..,55,..,..,32.1,32.1,57.3,56.9,57.3,57.8,58.2,58.6,59.1,..,0.5,0.5,0.8,0.7,..,..,..,..,29.8,32.8,..,40.7,40.7,40.7,40.7,40.7,40.7,6.5,..,..,..,..,..,..,..,..,..,..,..,3.7,2.7,2.6,..,..,..,..,..,..,..,..,..,0.762,..,..,..,..,..,..,..,..,0.784,..,..
Paraguay,..,8.4,3.9,12.3,18.1,13.2,9,..,..,..,..,..,..,..,..,72.3,..,..,78.5,90.3,90.3,94.6,94.6,94.6,94.6,94.6,94.6,..,0.5,0.7,0.6,0.7,..,..,..,..,53.7,56,72.3,72.1,72.1,72.1,72.1,72.1,72.1,1.5,1.1,5.3,..,..,4,..,..,..,..,..,..,3.2,2.9,2.4,..,..,..,..,..,..,..,..,..,0.619,..,..,..,..,..,..,..,..,0.643,..,..
Peru,..,3,7.4,8.6,7,6.8,7,..,..,..,..,..,..,..,..,54.7,..,..,81.9,81.9,87.2,87.9,88.7,89.6,89.6,89.6,89.6,..,1,1.2,1.4,1.4,..,..,..,..,70.9,77.7,88.1,87.5,88.1,88.1,88.1,88.1,88.1,2.9,2.8,..,2.7,2.5,2.5,2.7,..,..,..,..,..,2.7,2.5,2.5,..,..,..,..,..,..,..,..,..,0.562,..,..,..,..,..,..,..,..,0.614,..,..
Philippines,..,12,28.1,17.8,20.4,20.4,22.3,..,..,..,..,..,..,..,..,45,..,..,83.3,93.6,92.6,93.2,93.3,93.4,93.5,93.6,93.7,..,0.7,1,0.9,0.8,..,..,..,..,73,75,78.8,80.6,79.6,79.6,79.6,79.6,79.6,1.7,2.9,3.5,2.5,2.6,2.6,..,..,..,..,..,..,1.3,1.3,1.3,..,..,..,..,..,..,..,..,..,0.571,..,..,..,..,..,..,..,..,0.623,..,..
Poland,..,22.2,7.9,8.4,8.9,11.2,9.2,..,..,..,..,..,..,..,..,13.9,..,..,98.7,98.9,99.2,99.3,99.3,99.3,99.3,99.3,99.3,..,9.1,7.8,7.9,8.3,..,..,..,..,66.9,75.5,86.3,87.6,87.7,87.7,87.7,87.7,87.7,..,5.2,5,5.5,5.7,4.9,..,..,..,..,..,..,4.3,4.3,4.6,..,..,..,..,..,..,..,..,..,0.325,..,..,..,..,..,..,..,..,0.325,..,..
Portugal,..,15,6.2,1.8,0.6,1.4,4.1,..,..,..,..,..,..,..,..,16.5,..,..,79.4,87.9,92.4,94.2,94.6,94.9,95.2,95.5,95.8,..,4.4,6.2,6.2,5.7,..,..,..,..,58.9,70.2,91.6,89,88.8,88.8,88.8,88.8,88.8,3.4,3.8,5.4,5.4,5.3,..,..,..,..,..,..,..,7.3,7.1,7.1,..,..,..,..,..,..,..,..,..,0.303,..,..,..,..,..,..,..,..,0.31,..,..
Qatar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.9,..,..,..,75.6,83.3,93.1,93.1,93.1,93.1,93.1,93.1,..,25.2,56.3,58.7,56.2,..,..,..,..,64.7,75.9,75.4,76.7,77.6,80.4,80.4,80.4,80.4,2.5,3.9,..,3.3,..,..,..,..,..,..,..,..,3.1,3.1,2.9,..,..,..,..,..,..,..,..,..,0.662,..,..,..,..,..,..,..,..,0.671,..,..
Romania,..,5.5,2.5,4.7,6.6,10.1,13.7,..,..,..,..,..,..,..,..,31.2,..,..,..,96.7,97.3,97.5,97.6,97.6,97.6,97.7,97.7,..,6.8,4,4.2,4.6,..,..,..,..,77.5,66.4,68.3,77,79.2,79.2,79.2,79.2,79.2,..,2.8,2.9,3.5,..,4.4,..,..,..,..,..,..,3.8,3.5,3.8,..,..,..,..,..,..,..,..,..,0.486,..,..,..,..,..,..,..,..,0.478,..,..
Russian Federation,..,5.8,-1.2,1.7,-0.4,2.3,1.6,..,..,..,..,..,..,..,..,25.1,..,..,..,98,99.4,99.5,99.5,99.5,99.5,99.6,99.6,..,13.9,9.8,10.5,10.9,..,..,..,..,77.7,83.7,..,81.7,81.9,81.9,81.9,81.9,81.9,..,3.5,2.9,3.8,3.9,..,..,..,..,..,..,..,3.2,3.4,3.5,..,..,..,..,..,..,..,..,..,0.465,..,..,..,..,..,..,..,..,0.442,..,..
Rwanda,..,5.6,5.1,13.4,4.5,8.6,20.1,..,..,..,..,..,..,..,..,36.7,..,..,38.2,57.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,..,0.1,0.1,0.1,0.1,..,..,..,..,33.8,38.4,46,52.2,52.2,52.2,52.2,52.2,52.2,2.7,3.7,2.9,3.4,..,4.8,4.1,..,..,..,..,..,4.5,4.7,4.9,..,..,..,..,..,..,..,..,..,0.605,..,..,..,..,..,..,..,..,0.638,..,..
