"words","average occurrences","english corpus occurrences","block 1","block 2","block 3","block 4","block 5","block 6","block 7","block 8","block 9","block 10","block 11","block 12","block 13","block 14","block 15","block 16","block 17","block 18","block 19","block 20","block 21","block 22","block 23","block 24","block 25","block 26","block 27","block 28","block 29","block 30","block 31","block 32","block 33","block 34","block 35","block 36","block 37","block 38","block 39","block 40","block 41","block 42","block 43","block 44","block 45","block 46","block 47","block 48","block 49","block 50","block 51","block 52","block 53","block 54","block 55","block 56","block 57","block 58","block 59","block 60","block 61","block 62","block 63","block 64"
"president",146.6875,4086,130,180,171,111,100,131,158,168,183,201,241,268,192,155,100,114,114,155,144,150,129,109,134,96,101,139,174,108,118,127,95,79,84,132,148,95,94,213,188,106,124,162,135,130,112,87,164,168,180,235,272,245,173,187,204,249,221,175,91,134,81,66,67,91
"vote",3.9375,1102,77,69,161,0,78,87,76,59,64,61,120,97,79,96,157,110,111,104,162,82,112,106,95,91,100,69,76,62,70,0,107,133,90,106,106,71,88,65,61,114,97,131,91,231,126,250,184,261,320,179,143,0,152,350,241,269,287,523,446,226,0,0,0,0
"tcot",6.6875,30,0,51,0,70,47,60,0,0,0,67,76,0,43,82,55,62,81,75,63,116,321,131,110,54,0,56,69,50,118,0,70,57,113,75,95,82,141,78,0,0,68,0,0,70,66,72,52,81,42,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"more",1.625,40239,97,73,104,0,55,63,64,0,48,0,54,0,0,0,0,0,0,55,0,48,0,111,46,0,53,0,0,0,0,0,0,72,0,62,78,51,46,54,76,80,78,0,0,67,48,0,61,67,42,0,0,0,59,0,0,84,83,0,0,43,230,240,276,232
"america",2.609375,1187,86,114,73,85,46,54,50,0,55,0,0,155,77,71,0,0,95,55,0,78,53,57,50,57,55,0,53,0,45,0,0,0,0,0,0,57,40,45,0,0,0,0,92,78,64,101,58,53,68,0,0,0,59,116,68,71,89,85,120,0,72,0,45,63
"out",2.59375,121867,0,51,61,0,0,59,0,46,61,0,64,0,53,89,0,0,0,60,55,63,60,74,0,0,62,0,57,44,55,118,98,95,55,65,55,53,0,83,81,44,52,0,0,0,0,60,98,66,47,0,67,0,44,122,54,63,61,136,160,0,36,0,0,0
"election",46.875,442,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,65,0,0,0,40,0,71,0,67,61,0,48,0,0,75,70,62,66,43,86,79,57,75,65,51,0,100,0,46,74,58,0,46,66,115,0,92,83,110,0,82,114,84,0,42,42,37,0
"years",6.484375,13526,82,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,57,66,0,147,49,0,51,0,0,0,0,0,0,66,0,0,0,48,0,0,100,61,60,0,0,0,0,0,0,0,0,134,60,0,43,0,0,0,64,0,0,47,233,240,267,228
"voting",16.84375,132,0,0,0,0,0,0,0,74,0,0,0,47,0,66,0,60,0,0,71,0,0,0,70,47,47,0,45,0,0,0,0,0,0,0,0,0,0,60,55,72,62,0,71,146,67,118,95,60,67,56,0,0,47,90,0,97,112,80,90,0,0,0,0,0
"up",45.4375,103826,0,53,0,0,0,49,63,0,58,0,0,64,36,0,0,55,50,0,0,0,45,0,0,49,0,0,57,51,42,0,0,0,60,53,55,66,57,54,87,70,55,0,0,0,46,0,54,71,74,62,0,0,44,86,52,0,59,68,0,0,0,0,0,0
"know",33.734375,241548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,84,47,60,0,0,0,0,0,0,46,0,0,0,0,0,0,113,67,62,0,80,42,71,73,61,52,0,0,0,0,0,104,59,82,62,88,122,112,97,78,0,0,91,0,0,0,0,0,0
"today",5.015625,10561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,78,0,0,59,58,61,0,53,0,0,0,0,0,0,0,48,0,50,0,0,0,0,0,225,82,121,0,0,81,0,0,146,63,0,0,0,0,0,79,242,202,87,0,0,0,0
"sandy",126.234375,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,61,61,65,196,134,104,143,241,191,84,99,70,92,51,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"now",2.140625,100909,0,0,0,0,0,51,0,0,0,0,0,0,40,51,85,0,42,0,0,0,56,0,63,0,50,0,72,0,53,111,64,0,0,52,47,0,0,42,57,58,51,0,0,0,0,0,0,0,0,0,0,0,67,57,0,72,0,0,0,109,113,105,70,85
"four",4.15625,6014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,103,91,77,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,205,207,231,185
"need",3.015625,46040,0,0,134,80,60,41,0,0,0,0,0,0,0,0,134,123,86,0,58,59,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,99,70,52,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
"benghazi",2.84375,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,151,81,107,0,85,51,64,0,69,68,62,51,0,0,0,63,77,61,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.8125,30,86,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,64,66,59,53,91,0,0,74,0,0,0,43,0,0,0,0,0,0,53,0,51,0,49,0,108,0,0,50,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,47,44,58
"don",0.734375,820,0,0,66,0,48,41,0,48,0,0,57,68,68,0,0,64,47,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,49,0,63,67,49,0,0,0,0,0,65,0,0,0,0,0,0,0,0,84,0,59,68,0,0,0,0,0,0
"country",1.5625,3187,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,143,87,92,0,174,69,0,45,56,46,0,0,67,56,0,0,0,0,0
"go",1.515625,100905,0,51,0,0,0,0,54,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,59,45,0,45,0,0,115,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,122,106,84,73,0,0,0,0
"forward",4.5,1827,0,0,94,61,0,0,0,0,0,0,0,0,0,51,0,0,46,0,0,0,0,0,0,0,0,51,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,72,124,135,112,0,0,0,0,0,0,0
"make",3.046875,46154,0,0,0,0,0,0,0,0,0,0,73,59,0,0,0,0,0,0,57,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,61,0,44,0,44,0,0,0,0,0,0,0,0,0,0,64,129,0,0,56,0,60,0,67,0,0,0,0,0
"http://t.co/bAJE6Vom",5.109375,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,176,205,156
"good",28.828125,72798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,114,0,84,0,50,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,47,47,42,47
"u",48.640625,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,42,0,0,81,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,172,74,73
"ohio",14.234375,133,0,0,0,0,0,0,0,0,0,0,0,49,35,61,0,0,0,0,0,0,0,0,0,0,0,49,0,66,41,101,0,0,0,0,0,0,0,0,0,0,0,0,0,158,83,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"want",44.171875,102822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,41,0,51,0,52,0,0,121,47,114,57,0,0,0,64,0,0,0,0,0
"support",1.828125,1942,0,0,0,0,0,0,0,162,64,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,51,68,101,69,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
"day",1.71875,21860,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,85,54,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,72,70,0,61,91,0,0,0,0,0,0
"romneyryan2012",19.90625,30,0,0,0,0,0,58,0,0,0,59,0,0,45,50,0,0,0,0,0,0,45,57,63,0,0,0,0,0,0,0,0,0,0,78,51,0,0,0,0,0,0,0,0,59,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tomorrow",13.234375,8254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,148,206,105,0,0,0,0,0,0,0
"back",8.03125,63115,0,0,0,0,46,104,0,45,48,0,0,0,0,0,0,0,0,0,0,50,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,77,0,0,0,0,0,0
"help",4.734375,29825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,40,0,0,0,0,0,87,62,0,66,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,78,66,0,0,0,0,0
"ve",1.171875,189,0,0,0,0,0,43,48,0,0,0,0,48,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,93,47,0,0,101,0,0,0,0,0,0,0,0
"mitt",2.515625,30,0,0,87,56,0,48,74,0,0,0,64,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,48,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"voted",16.8125,200,0,0,0,0,0,0,0,0,0,0,0,52,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,74,105,0,0,0,0
"one",1.03125,84057,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,80,47,0,0,50,0,0,0,0,0,59,61,0,0,0,0,0,0,0,0,0
"reppaulryan2012",5.640625,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,44,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,146,47,60,0,0,0,0,0,0,0,0,0,0
"thank",0.9375,31728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,87,142,137
"change",2.40625,8176,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,71,0,0,0,0,71,0,0,0,0,0,0,58,0,110,0,0,0,0,0,0,0
"debate",0.828125,348,110,161,66,0,0,0,48,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oh",5.359375,148780,0,0,0,0,0,0,0,0,311,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"relief",1,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,54,0,233,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"endorses",0.9375,30,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,91,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cantafford4more",1.859375,30,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,58,0,0,0,0,120,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"people",1.53125,28517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,59,51,55,0,0,58,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"paulryanvp",0.796875,30,0,0,0,0,0,0,0,0,0,54,0,0,0,43,64,0,0,0,0,0,51,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
"days",0.78125,7213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,58,0,0,0,0,0,0,0,61,0,0,0,134,70,0,0,0,0,0,0,0,0,0,0,0,0,0
"agree",0.78125,2584,0,0,62,0,0,0,0,50,0,0,58,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
"office",0.765625,5955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,61,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
"love",0.765625,42994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,141,81,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"women",0.765625,4441,0,0,0,0,0,0,0,0,0,87,132,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"see",0.765625,75968,0,0,0,106,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"last",10.21875,21965,0,65,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,43
"ll",2.421875,204,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,90,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jobs",2.5,650,78,0,0,0,0,39,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gt",0.9375,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"new",0.890625,18860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,89,55,0,0,43,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"keep",0.890625,21842,0,0,84,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0
"time",0.875,64891,0,0,0,0,0,0,0,0,0,0,0,51,37,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,50,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gop",0.875,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,67,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plan",0.859375,5557,0,81,107,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"think",0.8125,102403,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fact",0.75,7654,0,0,0,0,0,0,0,0,0,0,69,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,64,0,0,0,0,0,0,0,0
"again",8.75,26472,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,76,0,0,0,0,0,0,0,0,0,0
"mourdock",15.046875,30,0,0,0,0,0,0,0,156,53,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hurricane",2.640625,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,100,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"big",10.03125,19520,0,0,0,0,0,0,0,0,0,0,0,96,0,49,48,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"here",0.8125,124368,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tonight",0.796875,13305,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,37,0,0,0
"already",26.921875,12233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,98,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"best",8.0625,14094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"red",3.4375,2976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,101,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tuesday",1.15625,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,110,50,0,0,0,0,0,0,0,0,0,0,0
"show",0.953125,12392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,57,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"health",7.53125,1213,0,0,0,0,0,0,0,0,0,90,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0
"represent",1.65625,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,79,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"americans",0.71875,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0
"voteobama",0.6875,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,128,0,0,0,0,0
"rape",1.640625,265,0,0,0,0,0,0,0,133,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
